numero,liste,resultat_2019,resultat_2014,pourcent_2019,pourcent_2014,evolution_en_pourcent,commune,lien,INS,Entités administratives,Langue,Administratieve eenheden,Province,Region
20,DierAnimal,42,-,"0,99%",-,-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
21,LA DROITE,21,61,"0,49%","1,40%","-0,91%",Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
22,LES BELGES D'ABORD,67,-,"1,58%",-,-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
23,NATION,18,11,"0,42%","0,25%","+0,17%",Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
24,WALLONIE INSOUMISE,22,-,"0,52%",-,-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
25,Collectif Citoyen,49,-,"1,15%",-,-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,MG,-,3,-,"0,07%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,Debout les Belges,-,54,-,"1,24%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,VLC,-,4,-,"0,09%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,B.U.B.-BELG.UNIE,-,6,-,"0,14%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,46,-,"1,06%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,PIRATE,-,17,-,"0,39%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,FW,-,2,-,"0,05%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,PP PARTIPENSIONNES,-,22,-,"0,51%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,R.W.F.,-,19,-,"0,44%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,CIM,-,0,-,"0,00%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
NA,ISLAM,-,2,-,"0,05%",-,Stavelot,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63073,63073,Stavelot,F,Stavelot,Province de Liège,RÉGION WALLONNE
2,ECOLO,394,268,"19,87%","13,62%","+6,25%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
5,CDH,240,303,"12,10%","15,40%","-3,29%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
6,MR,536,702,"27,03%","35,67%","-8,64%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
7,PARTI POPULAIRE,65,80,"3,28%","4,07%","-0,79%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
9,VLAAMS BELANG,20,-,"1,01%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
11,DéFI,89,-,"4,49%",-,"+3,12%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,FDF,-,27,-,"1,37%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
12,PTB,238,-,"12,00%",-,"+6,72%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,PTB-GO !,-,104,-,"5,28%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
13,LISTES DESTEXHE,20,-,"1,01%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
17,PS,279,379,"14,07%","19,26%","-5,19%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
20,DierAnimal,26,-,"1,31%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
21,LA DROITE,7,15,"0,35%","0,76%","-0,41%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
22,LES BELGES D'ABORD,30,-,"1,51%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
23,NATION,11,8,"0,55%","0,41%","+0,15%",Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
24,WALLONIE INSOUMISE,9,-,"0,45%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
25,Collectif Citoyen,19,-,"0,96%",-,-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,MG,-,2,-,"0,10%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,Debout les Belges,-,16,-,"0,81%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,VLC,-,6,-,"0,30%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,B.U.B.-BELG.UNIE,-,3,-,"0,15%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,23,-,"1,17%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,PIRATE,-,11,-,"0,56%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,FW,-,0,-,"0,00%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,PP PARTIPENSIONNES,-,10,-,"0,51%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,R.W.F.,-,9,-,"0,46%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,CIM,-,1,-,"0,05%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
NA,ISLAM,-,1,-,"0,05%",-,Stoumont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63075,63075,Stoumont,F,Stoumont,Province de Liège,RÉGION WALLONNE
2,ECOLO,1.509,799,"19,74%","10,40%","+9,34%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
5,CDH,528,958,"6,91%","12,46%","-5,56%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
6,MR,2.260,2.701,"29,56%","35,14%","-5,58%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
7,PARTI POPULAIRE,416,650,"5,44%","8,46%","-3,02%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
9,VLAAMS BELANG,36,-,"0,47%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
11,DéFI,290,-,"3,79%",-,"+1,76%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,FDF,-,156,-,"2,03%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
12,PTB,839,-,"10,97%",-,"+7,28%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,PTB-GO !,-,284,-,"3,70%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
13,LISTES DESTEXHE,127,-,"1,66%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
17,PS,1.254,1.773,"16,40%","23,07%","-6,67%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
20,DierAnimal,74,-,"0,97%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
21,LA DROITE,48,75,"0,63%","0,98%","-0,35%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
22,LES BELGES D'ABORD,125,-,"1,63%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
23,NATION,11,16,"0,14%","0,21%","-0,06%",Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
24,WALLONIE INSOUMISE,48,-,"0,63%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
25,Collectif Citoyen,81,-,"1,06%",-,-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,MG,-,3,-,"0,04%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,Debout les Belges,-,82,-,"1,07%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,VLC,-,14,-,"0,18%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,B.U.B.-BELG.UNIE,-,5,-,"0,07%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,54,-,"0,70%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,PIRATE,-,40,-,"0,52%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,FW,-,2,-,"0,03%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,PP PARTIPENSIONNES,-,45,-,"0,59%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,R.W.F.,-,25,-,"0,33%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,CIM,-,3,-,"0,04%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
NA,ISLAM,-,1,-,"0,01%",-,Theux,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63076,63076,Theux,F,Theux,Province de Liège,RÉGION WALLONNE
2,ECOLO,603,408,"16,54%","11,23%","+5,31%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
5,CDH,523,845,"14,35%","23,26%","-8,91%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
6,MR,1.218,1.276,"33,42%","35,12%","-1,71%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
7,PARTI POPULAIRE,136,236,"3,73%","6,50%","-2,76%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
9,VLAAMS BELANG,18,-,"0,49%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
11,DéFI,142,-,"3,90%",-,"+2,16%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,FDF,-,63,-,"1,73%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
12,PTB,345,-,"9,47%",-,"+6,16%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,PTB-GO !,-,120,-,"3,30%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
13,LISTES DESTEXHE,52,-,"1,43%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
17,PS,450,566,"12,35%","15,58%","-3,23%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
20,DierAnimal,31,-,"0,85%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
21,LA DROITE,30,31,"0,82%","0,85%","-0,03%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
22,LES BELGES D'ABORD,41,-,"1,12%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
23,NATION,5,2,"0,14%","0,06%","+0,08%",Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
24,WALLONIE INSOUMISE,11,-,"0,30%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
25,Collectif Citoyen,40,-,"1,10%",-,-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,MG,-,0,-,"0,00%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,Debout les Belges,-,23,-,"0,63%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,VLC,-,17,-,"0,47%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,B.U.B.-BELG.UNIE,-,4,-,"0,11%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,11,-,"0,30%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,PIRATE,-,15,-,"0,41%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,FW,-,0,-,"0,00%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,PP PARTIPENSIONNES,-,9,-,"0,25%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,R.W.F.,-,2,-,"0,06%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,CIM,-,3,-,"0,08%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
NA,ISLAM,-,2,-,"0,06%",-,Thimister-Clermont,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63089,63089,Thimister-Clermont,F,Thimister-Clermont,Province de Liège,RÉGION WALLONNE
2,ECOLO,214,137,"14,04%","8,91%","+5,13%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
5,CDH,235,279,"15,42%","18,15%","-2,73%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
6,MR,376,480,"24,67%","31,23%","-6,56%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
7,PARTI POPULAIRE,46,96,"3,02%","6,25%","-3,23%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
9,VLAAMS BELANG,12,-,"0,79%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
11,DéFI,45,-,"2,95%",-,"+1,13%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,FDF,-,28,-,"1,82%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
12,PTB,241,-,"15,81%",-,"+12,24%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,PTB-GO !,-,55,-,"3,58%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
13,LISTES DESTEXHE,29,-,"1,90%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
17,PS,247,379,"16,21%","24,66%","-8,45%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
20,DierAnimal,26,-,"1,71%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
21,LA DROITE,15,15,"0,98%","0,98%","+0,01%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
22,LES BELGES D'ABORD,21,-,"1,38%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
23,NATION,1,2,"0,07%","0,13%","-0,06%",Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
24,WALLONIE INSOUMISE,2,-,"0,13%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
25,Collectif Citoyen,14,-,"0,92%",-,-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,MG,-,0,-,"0,00%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,Debout les Belges,-,23,-,"1,50%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,VLC,-,0,-,"0,00%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,B.U.B.-BELG.UNIE,-,1,-,"0,07%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,WALLONIE D'ABORD,-,13,-,"0,85%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,PIRATE,-,7,-,"0,46%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,FW,-,0,-,"0,00%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,PP PARTIPENSIONNES,-,7,-,"0,46%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
NA,R.W.F.,-,12,-,"0,78%",-,Trois-Ponts,https://elections2019.belgium.be/fr/resultats-chiffres?el=CK&id=CKX63086,63086,Trois-Ponts,F,Trois-Ponts,Province de Liège,RÉGION WALLONNE
